model id,words,label-occurrences,nodes,edge,splits,joins,sequences,loops,task,event,inclusiveGateway,parallelGateway,exclusiveGateway
1,1.9,1.333333333,15,14,2,1,3,0,5,1,0,1,1
2,1.625,1.142857143,11,11,2,1,2,0,4,2,0,1,1
3,1.36,1.083333333,19,23,6,5,1,14,5,3,0,1,1
4,1,1,3,2,0,0,1,0,1,2,0,0,0
5,1.25,1,3,2,0,0,1,0,1,2,0,0,0
6,1,1,2,0,0,0,0,0,3,1,0,0,0
7,1,1,3,2,0,0,1,0,1,2,0,0,0
8,1.625,1.142857143,11,11,2,1,2,0,4,2,0,1,1
9,2.08,1.210526316,28,28,4,4,4,0,3,2,0,0,1
10,1.454545455,1,10,12,3,1,1,0,2,1,0,0,1
11,1.083333333,1,7,7,1,1,1,0,3,2,0,0,1
12,1.375,1,10,11,2,1,2,0,7,2,0,0,1
13,1.375,1,10,11,2,1,2,0,7,2,0,0,1
14,2.03030303,1.217391304,32,31,4,3,6,0,9,3,0,0,1
15,1.625,1.142857143,11,11,2,1,2,0,4,1,0,1,1
16,1.644444444,1.086956522,26,23,1,1,6,0,7,4,0,0,1
17,1.625,1.142857143,11,11,2,1,2,0,0,1,0,1,1
18,1.625,1.142857143,11,11,2,1,2,0,4,1,0,1,1
19,1.923076923,1.3,28,27,4,2,7,0,4,2,0,0,1
20,1.857142857,1.047619048,26,29,6,4,2,9,5,3,0,0,1
21,1.333333333,1,16,18,3,3,1,0,2,1,1,1,1
22,1.647058824,1,18,18,2,2,3,5,3,1,0,1,0
