model id,words,label-occurrences,nodes,edge,splits,joins,sequences,loops,task,event,inclusiveGateway,parallelGateway,exclusiveGateway,eventBasedGateway
0,1,1,2,1,0,0,0,0,1,1,0,0,0,0
1,1.842105263,1,17,19,2,3,0,0,5,4,0,1,0,0
2,2.529411765,1.285714286,11,11,1,1,2,0,4,4,0,1,0,0
3,1.65,1.1,16,18,2,3,0,0,1,3,0,1,0,0
4,1,1,2,1,0,0,0,0,0,2,0,0,0,0
5,1,1,1,0,0,0,0,0,1,1,0,0,0,0
6,1.333333333,1,2,1,0,0,0,0,0,2,0,0,0,0
7,1.125,1,5,4,0,0,1,0,2,2,0,0,0,0
8,4.066666667,1.666666667,12,12,1,1,2,0,3,2,0,1,0,0
9,3,1.538461538,26,28,3,3,5,0,5,4,0,1,0,0
10,1.260869565,1,11,11,1,1,1,0,4,3,0,1,0,0
11,1,1,4,3,0,0,1,0,1,3,0,0,0,0
12,1.625,1.111111111,12,12,1,1,1,0,6,3,0,0,1,0
13,1.722222222,1.142857143,10,10,1,1,1,0,3,3,0,0,1,0
14,2.289473684,1.227272727,35,38,4,4,6,0,5,4,0,1,1,0
15,1.409090909,1.125,11,11,1,1,1,0,7,3,0,0,1,0
16,3.35,1.222222222,28,30,3,3,4,0,9,3,1,0,1,0
17,2,1.25,12,12,1,1,2,0,3,3,0,1,0,0
18,1.555555556,1.333333333,10,10,1,1,1,0,4,3,0,0,1,0
19,2,1.176470588,26,28,3,3,4,0,8,3,0,0,1,0
20,2.107142857,1.25,24,25,2,2,3,0,6,4,0,1,1,0
21,3.222222222,1.833333333,15,16,2,2,1,0,3,3,0,1,1,0
22,2.7,1.25,19,20,2,2,3,0,7,3,0,0,1,0
23,1.5,1,3,2,0,0,1,0,0,2,0,0,0,0
24,1.588235294,1.111111111,12,12,1,1,2,0,3,3,0,0,0,1
25,1.388888889,1,9,9,1,1,1,0,3,3,0,1,0,0
26,2.15,1.166666667,18,19,2,2,3,0,3,3,1,1,0,0
27,1.5,1,2,1,0,0,0,0,0,2,0,0,0,0
28,1,1,1,0,0,0,0,0,1,1,0,0,0,0
29,1,1,1,0,0,0,0,0,1,1,0,0,0,0
30,1.166666667,1,4,3,0,0,1,0,3,2,0,0,0,0
31,1.8,1.333333333,10,10,1,1,2,0,4,2,0,0,1,0
32,2.23255814,1.095238095,29,31,3,3,5,0,9,3,0,1,1,0
33,1.95,1.5,11,11,1,1,3,0,3,3,0,0,1,0
34,1.923076923,1.166666667,9,9,1,1,2,0,3,2,0,0,1,0
35,1.533333333,1,12,12,1,1,2,0,2,3,0,1,0,0
36,1.6,1.333333333,10,10,1,1,1,0,2,3,1,0,0,0
37,1.93877551,1.142857143,30,32,3,3,5,0,8,3,0,0,1,0
38,1.2,1.125,11,11,1,1,2,0,4,3,0,0,1,0
39,2.275862069,1.117647059,26,29,3,4,1,0,5,4,0,0,1,0
40,1.642857143,1.2,8,8,1,1,0,0,4,3,0,0,1,0
41,1.285714286,1.4,9,9,1,1,1,0,3,3,0,0,1,0
42,1.945945946,1.1,29,32,3,4,4,0,8,3,0,1,1,0
43,2.040816327,1.166666667,27,29,3,3,5,0,6,3,0,1,1,0
44,2.913043478,1.444444444,15,15,1,1,2,0,7,1,0,0,1,0
45,1.888888889,1.230769231,20,21,2,2,3,0,4,3,0,1,1,0
46,1,1,2,1,0,0,0,0,1,1,0,0,0,0
47,1.375,1,12,12,1,1,1,0,3,3,1,0,0,0
48,1.4,1,8,8,1,1,1,0,2,3,0,1,0,0
49,2.727272727,1.444444444,17,18,2,2,1,0,7,6,0,0,1,0
50,1.125,1,2,1,0,0,0,0,0,2,0,0,0,0
51,1.2,1,3,2,0,0,1,0,0,3,0,0,0,0
52,1.545454545,1,4,3,0,0,1,0,1,3,0,0,0,0
53,1,1,3,2,0,0,1,0,2,2,0,0,0,0
54,1.230769231,1,10,10,1,1,2,0,5,3,0,0,1,0
55,2.9,1.176470588,26,28,3,3,3,0,6,3,0,1,1,0
56,2,1.8,11,11,1,1,2,0,3,3,0,0,1,0
57,1.222222222,1,6,5,1,0,1,0,1,3,0,0,1,0
58,1.923076923,1.142857143,10,10,1,1,2,0,4,3,0,0,1,0
59,2.333333333,1.2,8,8,1,1,1,0,0,3,1,0,0,0
60,2.205882353,1.235294118,29,32,4,4,3,0,7,3,1,0,1,0
61,1.263157895,1.142857143,12,13,2,2,1,0,1,3,0,1,1,0
62,1.763157895,1.2,24,26,3,3,4,0,6,4,0,1,1,0
63,1.076923077,1,8,8,1,1,1,0,3,3,0,1,0,0
64,1.294117647,1,11,11,1,1,2,0,5,2,0,0,1,0
65,1.520833333,1,25,27,3,3,4,0,6,4,0,1,1,0
66,1.815789474,1.0625,23,26,4,4,2,3,6,3,0,1,1,1
67,2.111111111,1,16,17,2,2,2,0,4,3,0,1,0,0
68,1.296296296,1.090909091,16,17,2,2,2,0,6,4,0,0,1,0
69,1,1,1,0,0,0,0,0,1,1,0,0,0,0
70,2.5,2.4,14,14,1,1,3,0,4,3,0,0,1,0
71,1.230769231,1,8,8,1,1,2,0,0,3,1,0,0,0
72,1.4,1,17,18,2,2,2,0,2,3,0,1,1,0
73,1,1,1,0,0,0,0,0,1,1,0,0,0,0
74,1.090909091,1,3,2,0,0,1,0,2,1,0,0,0,0
75,1,1,1,0,0,0,0,0,1,1,0,0,0,0
76,2.4,1.5,4,3,1,0,0,0,0,2,0,0,1,0
77,1.888888889,1.4,9,9,1,1,1,0,3,3,0,0,1,0
78,2.233333333,1.3125,25,26,2,2,3,0,8,2,0,0,1,0
79,2.416666667,1,10,10,1,1,1,0,5,2,0,0,1,0
80,1.428571429,1,4,3,0,0,1,0,2,3,0,0,0,0
81,2,1.125,11,11,1,1,1,0,6,5,0,0,1,0
82,2.2,1,9,9,1,1,1,0,5,3,0,0,1,0
83,3.380952381,1.05,29,32,4,4,5,0,5,3,0,1,0,0
84,2.058823529,1.111111111,12,12,1,1,2,0,4,3,0,0,1,0
85,1.72,1.583333333,24,26,3,3,3,0,6,3,0,1,1,0
86,1.894736842,1,13,13,1,1,3,0,3,4,0,0,1,0
87,2.5,1,10,10,1,1,1,0,4,3,0,1,0,0
88,2.576923077,1.5,25,26,2,2,4,0,7,3,1,0,1,0
89,1.727272727,1.058823529,24,26,3,3,3,0,5,3,0,1,1,0
90,2.727272727,1.25,19,20,2,2,2,0,4,5,0,0,1,0
91,2.259259259,1.416666667,21,22,2,2,3,0,8,4,0,0,1,0
92,1.2,1,2,1,0,0,0,0,0,2,0,0,0,0
93,2.038461538,1.090909091,14,14,1,1,3,0,5,3,0,1,0,0
94,1.666666667,1,13,13,1,1,1,0,0,3,0,0,0,1
95,1.458333333,1.166666667,16,16,2,1,3,0,5,3,0,0,1,0
96,1.272727273,1,4,3,0,0,1,0,2,2,0,0,0,0
97,1,1,2,1,0,0,0,0,0,2,0,0,0,0
98,1.4,1.5,3,2,0,0,1,0,0,3,0,0,0,0
99,1.714285714,1,4,3,0,0,1,0,0,3,0,0,0,0
100,2,1.4,9,9,1,1,1,0,5,3,0,0,1,0
101,3.7,1.105263158,29,32,4,4,3,0,4,3,0,1,0,1
102,2.666666667,1.2,8,8,1,1,1,0,2,3,0,1,0,0
103,1,1,7,7,1,1,1,0,0,3,1,0,0,0
104,1.5625,1,9,9,1,1,1,0,3,3,0,0,1,0
105,2.055555556,1.1,13,13,1,1,2,0,5,3,0,0,1,0
106,2.902439024,1.315789474,31,33,3,3,5,0,6,3,1,1,0,1
107,1.6,1.285714286,11,11,1,1,2,0,4,4,0,0,1,0
108,1.714285714,1.210526316,29,31,3,3,6,0,9,4,0,1,1,0
109,2.25,1.25,12,13,2,2,2,1,3,3,0,0,1,0
110,1.6,1.5,11,11,1,1,2,0,2,4,0,0,1,0
111,1.659090909,1.176470588,28,31,4,4,3,0,6,2,0,1,1,0
112,3.291666667,1.25,25,27,2,3,2,0,7,4,0,1,0,0
113,1.551724138,1,16,17,2,2,2,0,4,3,0,0,1,0
114,1.516129032,1,16,17,2,2,1,0,3,3,0,1,1,0
115,1,1,3,2,0,0,1,0,2,2,0,0,0,0
116,1.454545455,1,13,13,1,1,3,0,3,3,0,0,1,0
117,1.176470588,1,9,9,1,1,1,0,1,3,0,1,0,0
118,1.666666667,1.071428571,19,20,2,2,2,0,4,3,0,1,1,0
119,1,1,2,1,0,0,0,0,0,2,0,0,0,0
120,1,1,2,1,0,0,0,0,0,2,0,0,0,0
121,1.166666667,1,4,3,0,0,1,0,2,2,0,0,0,0
122,1.142857143,1,2,1,0,0,0,0,0,2,0,0,0,0
123,1.5,1.142857143,10,10,1,1,1,0,5,3,0,0,1,0
124,2.689655172,1.294117647,28,30,3,3,4,0,6,3,0,1,1,0
125,1.6,1.125,11,11,1,1,1,0,2,3,0,0,1,0
126,2.333333333,1.333333333,10,10,1,1,1,0,1,3,0,1,0,0
127,1.545454545,1.4,7,6,0,0,1,0,7,2,0,0,0,0
128,1.941176471,1.111111111,12,12,1,1,2,0,5,4,0,0,1,0
129,3.166666667,1.2,31,34,3,5,3,0,6,4,0,1,1,0
130,1.555555556,1.166666667,9,9,1,1,1,0,2,3,0,1,0,0
131,1.892857143,1.357142857,24,26,4,3,4,7,10,5,0,1,1,0
132,1.470588235,1.142857143,10,10,1,1,2,0,1,3,0,0,0,1
133,1.8125,1.125,11,11,1,1,2,0,5,5,0,0,1,0
134,3,1.4,27,29,3,4,4,0,5,3,1,1,0,0
135,1.540540541,1.266666667,25,27,3,3,3,0,7,3,0,1,1,0
136,2.642857143,1.1,13,13,1,1,4,0,4,3,0,0,1,0
137,1.529411765,1,20,21,2,2,2,0,4,3,0,0,1,0
138,1,1,1,0,0,0,0,0,1,1,0,0,0,0
139,2.375,1.25,12,12,1,1,2,0,4,3,1,0,0,0
140,1.647058824,1.25,11,11,1,1,2,0,4,2,0,0,1,0
141,1.555555556,1,16,17,2,2,2,0,4,3,0,1,1,0
142,1.272727273,1,3,2,0,0,1,0,1,2,0,0,0,0
143,1.214285714,1,3,2,0,0,1,0,2,2,0,0,0,0
144,1,1,1,0,0,0,0,0,1,1,0,0,0,0
145,2,1.5,3,2,0,0,1,0,0,3,0,0,0,0
146,1.833333333,1,9,9,1,1,1,0,5,2,1,0,0,0
147,2.5,1.466666667,28,30,3,3,4,0,6,3,0,1,1,0
148,2.25,2,10,10,1,1,1,0,2,3,0,0,1,0
149,2.285714286,1.333333333,4,3,0,0,1,0,1,3,0,0,0,0
150,1.7,1.285714286,11,11,1,1,1,0,4,3,0,1,0,0
151,1.461538462,1.125,11,11,1,1,1,0,5,3,0,0,1,0
152,1.973684211,1.388888889,31,33,4,3,6,0,6,4,0,1,1,0
153,1.909090909,1.4,9,9,1,1,1,0,4,3,0,0,1,0
154,1.583333333,1.25,24,25,2,2,5,0,5,6,0,0,1,0
155,1.48,1,11,11,1,1,2,0,5,4,1,0,0,0
156,1.25,1,8,8,1,1,1,0,6,2,0,1,0,0
157,1.870967742,1.428571429,26,28,3,3,5,0,6,4,0,1,1,0
158,2.566666667,1.095238095,29,31,3,3,4,0,4,2,1,1,1,0
159,3.05,1.5,19,20,2,2,3,0,6,5,0,1,1,0
160,2.2,1.416666667,21,22,2,2,4,0,4,3,0,0,1,1
161,1,1,2,1,0,0,0,0,0,2,0,0,0,0
162,1.366666667,1.090909091,14,14,1,1,2,0,6,3,0,0,1,0
163,1.363636364,1.2,8,8,1,1,1,0,0,3,0,1,0,0
164,1.6875,1.166666667,18,19,2,2,2,0,2,2,0,0,1,0
165,1.857142857,1.5,3,2,0,0,1,0,0,3,0,0,0,0
166,1.333333333,1,4,3,0,0,1,0,2,2,0,0,0,0
167,1,1,2,1,0,0,0,0,0,2,0,0,0,0
168,1.285714286,1,3,2,0,0,1,0,0,3,0,0,0,0
169,2.888888889,1.375,13,13,1,1,2,0,5,3,0,0,1,0
170,3,1.785714286,31,33,3,3,6,0,7,4,0,1,1,0
171,1.125,1,7,7,1,1,1,0,2,3,1,0,0,0
172,1.076923077,1,6,5,0,0,1,0,5,3,0,0,0,0
173,1.384615385,1,13,13,1,1,1,0,7,3,0,0,1,0
174,1.25,1,10,10,1,1,1,0,3,3,0,0,1,0
175,2.147058824,1.277777778,29,31,3,3,4,0,6,4,0,0,1,0
176,2.222222222,1.428571429,12,12,1,1,3,0,3,3,0,0,1,0
177,1.848484848,1.571428571,26,27,2,2,5,0,9,4,0,0,1,0
178,1.647058824,1.125,11,11,1,1,2,0,5,3,0,0,1,0
179,1.875,1.111111111,12,12,1,1,2,0,4,3,0,0,1,0
180,3.666666667,1.222222222,26,27,2,2,6,0,8,4,0,1,1,0
181,1.65625,1.117647059,23,24,2,2,5,0,6,4,0,0,1,0
182,2.692307692,1.375,13,14,1,2,2,1,8,2,0,0,1,0
183,2.263157895,1.076923077,19,21,2,3,1,0,8,3,0,0,1,0
184,1,1,3,2,0,0,1,0,2,2,0,0,0,0
185,1.344827586,1,12,12,1,1,3,0,6,3,0,0,1,0
186,1.578947368,1.111111111,12,12,1,1,2,0,7,2,0,0,1,0
187,1.914285714,1.133333333,21,22,2,2,5,0,7,3,0,0,1,0
188,1.75,1.5,3,2,0,0,1,0,2,2,0,0,0,0
189,1.25,1,4,3,0,0,1,0,2,2,0,0,0,0
190,1.142857143,1,3,2,0,0,1,0,0,3,0,0,0,0
191,1,1,2,1,0,0,0,0,0,2,0,0,0,0
192,2,1.333333333,10,10,1,1,2,0,6,2,0,0,1,0
193,2.71875,1.117647059,25,27,3,3,3,0,6,6,1,0,1,0
194,1.555555556,1,9,9,1,1,1,0,4,3,0,0,1,0
195,1.5,1,4,3,0,0,1,0,0,3,0,0,0,0
196,1.588235294,1.125,11,11,1,1,2,0,5,2,0,0,1,0
197,1.4375,1,8,7,1,0,1,0,6,4,0,0,1,0
198,2.470588235,1.2,30,32,3,3,4,0,11,5,0,1,1,0
199,1.583333333,1.125,11,11,1,1,2,0,4,2,0,0,1,0
