model id,words,label-occurrences,nodes,edge,splits,joins,sequences,loops,task,event,parallelGateway,exclusiveGateway,eventBasedGateway
0,1.1428571428571428,1.0,2,1,0,0,0,0,0,2,0,0,0
1,2.3095238095238093,1.1428571428571428,30,38,6,4,3,0,0,4,1,1,0
2,1.9183673469387754,1.0357142857142858,36,44,4,7,4,0,0,4,1,1,1
3,2.5294117647058822,1.2413793103448276,44,59,8,8,5,0,0,4,1,0,0
4,3.1607142857142856,1.2307692307692308,60,77,9,12,4,0,0,4,1,1,0
5,2.8208955223880596,1.1702127659574468,68,85,12,10,8,0,0,4,1,1,0
6,3.323529411764706,1.3333333333333333,81,99,10,13,13,0,0,4,1,1,1
7,2.711864406779661,1.4,62,79,13,8,7,0,0,4,1,1,0
8,1.8627450980392157,1.12,36,39,4,5,3,0,0,4,1,1,0
9,1.9375,1.1111111111111112,38,47,7,5,3,0,0,4,1,1,0
10,1.4,1.0,2,1,0,0,0,0,0,2,0,0,0
11,2.787878787878788,1.411764705882353,28,29,2,2,3,0,0,3,0,1,0
12,2.75,1.2727272727272727,36,45,7,5,3,0,0,4,1,1,0
13,2.4565217391304346,1.2222222222222223,41,50,5,7,5,0,0,4,1,1,0
14,2.2096774193548385,1.1891891891891893,55,72,10,10,7,0,0,4,1,1,0
15,2.6666666666666665,1.263157894736842,59,76,10,10,7,0,0,4,1,1,0
16,2.518987341772152,1.1454545454545455,80,87,9,9,13,0,0,4,0,1,1
17,2.257142857142857,1.1538461538461537,57,68,8,10,7,0,0,4,1,1,0
18,1.9411764705882353,1.263157894736842,30,32,3,3,4,0,0,4,0,1,0
19,1.9777777777777779,1.25,33,36,4,4,5,0,0,4,0,1,1
20,1.0909090909090908,1.0,2,1,0,0,0,0,0,2,0,0,0
21,1.98,1.0434782608695652,30,32,3,3,3,0,0,4,1,1,0
22,2.5813953488372094,1.1481481481481481,38,46,8,6,4,0,0,4,1,1,0
23,2.425925925925926,1.1379310344827587,41,44,5,5,5,0,0,4,0,1,0
24,2.792452830188679,1.2058823529411764,51,55,5,5,9,0,0,4,0,1,0
25,3.2962962962962963,1.2432432432432432,56,66,6,8,8,0,0,4,1,1,0
26,3.1842105263157894,1.2222222222222223,84,92,9,9,12,0,0,4,0,1,0
27,2.4838709677419355,1.25,58,75,13,9,5,0,0,4,1,1,0
28,2.325,1.2,30,38,6,4,4,0,0,4,1,0,0
29,1.8837209302325582,1.04,34,37,4,4,5,0,0,4,1,1,0
30,1.5,1.0,3,2,0,0,1,0,0,3,0,0,0
31,2.1176470588235294,1.1666666666666667,27,29,3,3,4,0,0,4,0,1,0
32,2.1454545454545455,1.1333333333333333,42,51,7,7,2,0,0,4,0,1,0
33,2.23728813559322,1.1875,48,58,8,8,6,0,0,4,1,1,1
34,2.65625,1.15,58,63,6,6,8,0,0,4,0,1,0
35,2.5901639344262297,1.1282051282051282,56,61,6,6,9,0,0,4,0,1,0
36,3.563380281690141,1.2777777777777777,85,105,13,13,10,0,0,4,1,1,0
37,2.772727272727273,1.2439024390243902,62,80,11,10,6,0,0,4,1,1,0
38,2.142857142857143,1.1304347826086956,32,34,3,3,4,0,0,4,0,1,0
39,2.5142857142857142,1.0833333333333333,33,36,4,4,5,0,0,4,0,1,0
40,1.375,1.0,3,2,0,0,1,0,0,3,0,0,0
41,1.7619047619047619,1.0476190476190477,26,27,2,2,5,0,0,4,0,1,0
42,2.4583333333333335,1.037037037037037,36,45,7,6,3,0,0,4,1,0,0
43,2.2033898305084745,1.125,46,56,8,6,4,0,0,4,1,1,1
44,2.673076923076923,1.2580645161290323,51,62,9,8,6,0,0,4,1,1,1
45,2.6721311475409837,1.2222222222222223,56,67,8,9,5,0,0,4,0,1,0
46,3.9523809523809526,1.3653846153846154,93,115,15,15,11,0,0,4,1,1,0
47,3.272727272727273,1.3170731707317074,64,75,7,8,9,0,0,4,0,1,0
48,2.2162162162162162,1.2,30,32,3,3,5,0,0,4,1,1,0
49,2.056603773584906,1.0769230769230769,34,43,5,6,2,0,0,4,0,1,0
50,1.0,1.0,2,1,0,0,0,0,0,2,0,0,0
51,2.1041666666666665,1.0416666666666667,31,33,3,3,4,0,0,3,0,1,0
52,2.239130434782609,1.1111111111111112,36,38,3,3,4,0,0,4,0,1,0
53,2.5,1.2580645161290323,47,62,8,9,6,0,0,4,1,1,0
54,2.7551020408163267,1.1764705882352942,50,60,6,8,7,0,0,4,1,1,0
55,3.6296296296296298,1.1904761904761905,60,71,7,8,5,0,0,4,1,1,0
56,3.3013698630136985,1.2352941176470589,81,89,9,9,13,0,0,4,0,1,0
57,2.449275362318841,1.0227272727272727,58,69,7,10,6,0,0,4,1,1,0
58,2.4761904761904763,1.2727272727272727,32,40,5,6,2,0,0,4,0,1,0
59,1.9787234042553192,1.0384615384615385,33,35,3,3,7,0,0,3,0,1,0
60,1.1,1.0,2,1,0,0,0,0,0,2,0,0,0
61,2.1136363636363638,1.0869565217391304,31,39,6,4,2,0,0,4,1,1,0
62,2.3617021276595747,1.1538461538461537,36,38,3,3,4,0,0,4,0,1,0
63,2.574074074074074,1.1515151515151516,47,51,5,5,7,0,0,4,0,1,0
64,2.169230769230769,1.1428571428571428,50,60,9,7,7,0,0,4,1,1,1
65,3.5344827586206895,1.2857142857142858,66,83,11,10,7,0,0,4,1,1,0
66,3.4864864864864864,1.3,81,94,10,11,11,0,0,4,0,1,0
67,2.6666666666666665,1.1842105263157894,57,68,9,7,7,0,0,4,1,1,0
68,2.3658536585365852,1.0833333333333333,32,34,3,3,5,0,0,4,0,1,0
69,2.152173913043478,1.16,36,45,7,5,3,0,0,3,1,1,0
70,1.25,1.0,2,1,0,0,0,0,0,2,0,0,0
71,1.7837837837837838,1.0909090909090908,30,32,3,3,5,0,0,4,1,1,0
72,2.048780487804878,1.0833333333333333,36,46,6,8,2,0,0,4,1,1,0
73,2.280701754385965,1.1612903225806452,43,51,6,7,4,0,0,4,0,1,0
74,2.6862745098039214,1.3666666666666667,51,55,5,5,7,0,0,4,0,1,0
75,2.5,1.2105263157894737,56,65,7,8,7,0,0,4,1,1,0
76,3.824561403508772,1.4,81,89,9,9,10,0,0,4,1,1,0
77,3.2711864406779663,1.4285714285714286,60,64,5,5,8,0,0,4,0,1,0
78,2.2972972972972974,1.1428571428571428,30,38,6,4,3,0,0,4,1,1,0
79,2.088888888888889,1.173913043478261,33,41,6,4,6,0,0,4,1,1,0
80,1.0,1.0,2,1,0,0,0,0,0,2,0,0,0
81,2.6785714285714284,1.5,32,41,7,5,2,0,0,3,1,1,0
82,2.108695652173913,1.0740740740740742,37,40,4,4,5,0,0,4,1,1,0
83,2.4716981132075473,1.3461538461538463,41,40,3,3,5,0,0,4,0,1,0
84,2.8518518518518516,1.1282051282051282,54,58,5,5,8,0,0,4,0,1,0
85,2.727272727272727,1.1428571428571428,56,66,6,7,6,0,0,4,0,1,0
86,3.4558823529411766,1.4166666666666667,82,94,9,10,10,0,0,4,1,1,0
87,2.125,1.1428571428571428,58,67,7,8,4,0,0,4,1,1,0
88,2.189189189189189,1.6470588235294117,36,45,7,5,5,0,0,4,1,1,0
89,2.3488372093023258,1.1111111111111112,38,41,4,4,5,0,0,4,0,1,0
90,1.0,1.0,2,1,0,0,0,0,0,2,0,0,0
91,1.934782608695652,1.05,27,35,6,4,2,0,0,4,1,1,0
92,2.24,1.16,37,40,4,4,6,0,0,4,0,1,0
93,2.5084745762711864,1.2424242424242424,49,48,4,4,7,0,0,4,0,1,0
94,2.75,1.2,54,59,6,6,7,0,0,4,0,1,0
95,2.7586206896551726,1.25,56,66,6,9,8,0,0,4,1,1,0
96,3.411764705882353,1.2580645161290323,95,115,13,15,9,0,0,4,1,1,0
97,2.9166666666666665,1.25,61,71,6,9,9,0,0,4,1,1,0
98,2.5526315789473686,1.1363636363636365,30,37,6,3,5,0,0,4,1,1,0
99,2.375,1.1111111111111112,38,47,5,7,3,0,0,4,1,1,0
100,1.25,1.0,2,1,0,0,0,0,0,2,0,0,0
101,2.1666666666666665,1.2777777777777777,29,31,3,3,4,0,0,4,1,1,0
102,2.0,1.16,37,40,5,5,5,0,0,4,0,1,0
103,2.630434782608696,1.3461538461538463,42,50,7,4,5,0,0,4,1,1,0
104,3.0,1.125,55,59,5,6,7,0,0,4,0,1,0
105,2.4754098360655736,1.3157894736842106,62,73,9,7,11,0,0,4,1,1,0
106,3.9705882352941178,1.3818181818181818,94,120,17,14,8,0,0,4,1,1,0
107,2.694915254237288,1.205128205128205,61,67,7,7,8,0,0,4,1,1,1
108,1.9318181818181819,1.0434782608695652,30,32,3,3,5,0,0,3,1,1,0
109,2.148936170212766,1.3181818181818181,33,30,2,2,3,0,0,4,1,1,0
110,1.0,1.0,2,1,0,0,0,0,0,2,0,0,0
111,1.9574468085106382,1.0833333333333333,32,34,3,3,5,0,0,4,0,1,0
112,2.4489795918367347,1.12,36,39,5,5,5,0,0,4,1,1,0
113,2.1551724137931036,1.1379310344827587,41,44,4,4,7,0,0,4,0,1,0
114,2.892857142857143,1.1666666666666667,54,59,6,6,10,0,0,4,1,1,0
115,2.65625,1.263157894736842,60,72,8,9,8,0,0,4,1,1,0
116,3.2266666666666666,1.2745098039215685,83,91,9,9,12,0,0,4,1,1,0
117,2.7761194029850746,1.3414634146341464,67,78,8,9,8,0,0,4,0,1,0
118,2.150943396226415,1.1538461538461537,36,38,3,3,7,0,0,4,0,1,0
119,2.533333333333333,1.3181818181818181,35,43,6,4,4,0,0,3,1,1,0
120,1.3333333333333333,1.0,1,0,0,0,0,0,1,1,0,0,0
121,2.0606060606060606,1.25,26,28,3,3,4,0,0,4,1,1,0
122,1.896551724137931,1.096774193548387,42,51,6,7,4,0,0,4,0,1,0
123,2.272727272727273,1.1515151515151516,46,49,4,4,8,0,0,4,0,1,0
124,3.2,1.34375,55,72,12,8,4,0,0,4,1,1,0
125,3.4310344827586206,1.25,64,82,13,9,7,0,0,4,1,1,0
126,3.3157894736842106,1.2777777777777777,84,96,8,11,13,0,0,4,1,1,0
127,2.982142857142857,1.2,62,68,7,7,7,0,0,4,0,1,0
128,2.0238095238095237,1.0909090909090908,30,32,3,3,4,0,0,4,0,1,0
129,2.0576923076923075,1.037037037037037,34,42,5,6,2,0,0,4,0,1,0
130,1.1666666666666667,1.0,2,1,0,0,0,0,0,2,0,0,0
131,1.7674418604651163,1.1578947368421053,26,25,2,2,5,0,0,4,1,1,0
132,2.3846153846153846,1.0740740740740742,39,43,5,5,5,0,0,4,0,1,0
133,2.210526315789474,1.088235294117647,45,48,4,4,6,0,0,4,0,1,0
134,2.406779661016949,1.1470588235294117,53,59,7,7,7,0,0,4,1,1,0
135,2.925925925925926,1.2105263157894737,56,66,6,8,8,0,0,4,1,1,0
136,3.6911764705882355,1.2745098039215685,83,91,9,9,12,0,0,4,0,1,0
137,3.2,1.6428571428571428,58,75,13,8,6,0,0,4,1,1,0
138,2.0961538461538463,1.0357142857142858,35,44,5,6,2,0,0,4,0,1,0
139,2.066666666666667,1.1818181818181819,33,41,7,5,5,0,0,4,1,1,0
140,1.2,1.0,2,1,0,0,0,0,0,2,0,0,0
141,1.5813953488372092,1.105263157894737,27,29,3,3,5,0,0,4,0,1,0
142,2.175,1.2173913043478262,36,39,4,5,5,0,0,4,1,1,0
143,1.9814814814814814,1.03125,41,44,4,5,5,0,0,4,0,1,0
144,2.4655172413793105,1.1470588235294117,51,56,7,7,7,0,0,4,0,1,0
145,2.40625,1.2307692307692308,60,71,7,9,8,0,0,4,1,1,0
146,3.324675324675325,1.2884615384615385,82,89,8,8,14,0,0,4,1,1,0
147,2.6031746031746033,1.2045454545454546,67,92,11,16,1,0,0,4,1,1,0
148,1.9047619047619047,1.0434782608695652,30,32,3,3,6,0,0,4,0,1,0
149,2.037037037037037,1.2608695652173914,36,44,7,5,2,0,0,4,1,1,0
150,1.0,1.0,2,1,0,0,0,0,0,2,0,0,0
151,2.2564102564102564,1.0476190476190477,26,27,2,2,5,0,0,4,1,1,0
152,2.4146341463414633,1.12,36,39,4,4,5,0,0,4,1,1,0
153,3.340909090909091,1.1875,48,52,5,5,6,0,0,4,0,1,0
154,2.888888888888889,1.1714285714285715,52,62,6,9,6,0,0,4,1,1,1
155,3.12,1.170731707317073,56,59,4,4,8,0,0,4,0,1,0
156,3.740740740740741,1.3125,81,89,9,9,11,0,0,4,1,1,0
157,3.259259259259259,1.368421052631579,66,84,11,12,7,0,0,4,1,1,0
158,1.9411764705882353,1.0769230769230769,34,42,6,4,2,0,0,4,1,1,0
159,2.7045454545454546,1.1,38,46,5,6,4,0,0,4,0,1,0
160,1.25,1.0,2,1,0,0,0,0,0,2,0,0,0
161,2.03125,1.1578947368421053,26,27,2,2,3,0,0,4,0,1,0
162,2.275,1.1111111111111112,38,47,7,5,3,0,0,4,1,1,0
163,2.3469387755102042,1.1,41,44,4,4,6,0,0,4,0,1,0
164,2.5081967213114753,1.1891891891891893,54,64,6,8,7,0,0,4,1,1,0
165,2.476923076923077,1.2045454545454546,64,81,11,10,6,0,0,4,1,1,0
166,3.6507936507936507,1.36,84,97,11,9,13,0,0,4,1,1,0
167,2.5737704918032787,1.146341463414634,57,67,7,8,7,0,0,4,0,1,0
168,1.9423076923076923,1.1153846153846154,35,43,6,4,5,0,0,4,1,1,0
169,1.8863636363636365,1.0869565217391304,33,36,4,4,4,0,0,4,1,1,0
170,1.0,1.0,2,1,0,0,0,0,0,2,0,0,0
171,2.108108108108108,1.0952380952380953,31,34,5,5,4,0,0,4,0,1,0
172,2.2037037037037037,1.096774193548387,41,56,8,8,2,0,0,4,1,0,0
173,2.627450980392157,1.09375,45,49,5,5,5,0,0,4,0,1,0
174,2.673469387755102,1.2580645161290323,50,67,12,8,3,0,0,4,1,1,0
175,3.0327868852459017,1.3055555555555556,59,71,8,9,8,0,0,4,1,1,0
176,3.9384615384615387,1.2321428571428572,86,112,14,16,8,0,0,4,1,1,0
177,3.5892857142857144,1.2954545454545454,69,86,10,10,5,0,0,4,1,1,0
178,2.215686274509804,1.1481481481481481,36,45,5,6,3,0,0,4,0,1,0
179,2.061224489795918,1.037037037037037,34,34,3,3,4,0,0,4,1,1,0
180,1.4,1.0,2,1,0,0,0,0,0,2,0,0,0
181,2.03125,1.2352941176470589,27,29,3,3,4,0,0,4,1,1,0
182,2.3076923076923075,1.45,37,46,8,6,2,0,0,4,1,1,0
183,2.4363636363636365,1.4482758620689655,48,49,6,4,9,0,1,4,1,1,0
184,3.215686274509804,1.3714285714285714,59,76,12,8,7,0,0,4,1,1,0
185,2.5,1.2564102564102564,59,70,7,8,7,0,0,4,0,1,0
186,3.6,1.2363636363636363,82,106,14,15,5,0,0,4,1,1,0
187,2.5441176470588234,1.2820512820512822,62,79,10,10,5,0,0,4,1,1,0
188,2.142857142857143,1.1818181818181819,32,34,3,3,4,0,0,4,1,1,0
189,1.6538461538461537,1.12,34,34,3,3,5,0,0,4,0,1,0
190,1.0,1.0,2,1,0,0,0,0,0,2,0,0,0
191,1.5957446808510638,1.0434782608695652,30,32,3,3,4,0,0,4,0,1,0
192,2.2857142857142856,1.16,37,46,7,6,4,0,0,4,1,1,0
193,2.3137254901960786,1.0571428571428572,47,51,6,7,5,0,0,4,0,1,0
194,2.6363636363636362,1.1282051282051282,54,58,5,5,10,0,0,4,0,1,0
195,2.2686567164179103,1.1136363636363635,61,66,6,6,11,0,0,4,1,1,0
196,4.4035087719298245,1.36,86,112,17,15,10,0,0,4,1,1,0
197,2.9672131147540983,1.25,62,73,8,9,8,0,0,4,0,1,0
198,2.0930232558139537,1.1818181818181819,33,36,4,4,4,0,0,4,0,1,0
199,1.9772727272727273,1.0833333333333333,34,37,4,4,5,0,0,4,0,1,0
200,1.0,1.0,3,2,0,0,1,0,0,3,0,0,0
201,2.1627906976744184,1.2105263157894737,31,40,7,5,2,0,0,4,1,1,1
202,2.290909090909091,1.1071428571428572,39,42,4,4,4,0,0,4,0,1,0
203,2.135593220338983,1.088235294117647,47,57,8,6,7,0,0,4,1,1,1
204,2.6176470588235294,1.069767441860465,57,64,6,7,9,0,0,4,1,1,0
205,3.3333333333333335,1.3055555555555556,58,76,9,12,5,0,0,4,1,1,0
206,4.159420289855072,1.5333333333333334,87,102,11,12,10,0,0,4,0,1,0
207,2.9384615384615387,1.175,59,64,6,6,9,0,0,4,1,1,0
208,2.0638297872340425,1.0833333333333333,32,40,4,6,4,0,0,4,1,1,0
209,2.13953488372093,1.0869565217391304,33,42,7,5,2,0,0,4,1,1,0
210,1.0833333333333333,1.0,2,1,0,0,0,0,0,2,0,0,0
211,2.15,1.3333333333333333,30,32,3,3,5,0,0,4,0,1,1
212,2.204081632653061,1.2173913043478262,36,39,4,5,5,0,0,4,1,1,0
213,2.8363636363636364,1.3214285714285714,47,51,5,5,6,0,0,4,0,1,0
214,3.037037037037037,1.1842105263157894,55,65,6,8,6,0,0,4,1,1,0
215,3.5238095238095237,1.4594594594594594,64,74,7,8,8,0,0,4,0,1,0
